Date,Open,High,Low,Close,Adj Close,Volume
2000-01-13,85.125000,85.125000,82.875000,84.500000,67.708092,711000
2000-01-14,85.500000,86.937500,85.312500,85.625000,68.609566,607000
2000-01-18,85.000000,89.125000,84.750000,86.875000,69.611160,1095700
2000-01-19,86.875000,89.375000,86.750000,87.562500,70.161995,636900
2000-01-20,87.000000,87.937500,84.875000,85.937500,68.954453,621800
2000-01-21,86.187500,86.187500,84.562500,85.687500,68.753838,542500
2000-01-24,87.500000,87.500000,81.500000,81.750000,65.594460,712900
2000-01-25,83.000000,84.187500,82.375000,83.875000,67.299545,749300
2000-01-26,84.125000,88.500000,84.125000,88.250000,70.809959,1086600
2000-01-27,88.250000,89.937500,87.625000,89.000000,71.411720,702000
2000-01-28,87.500000,88.000000,86.125000,87.000000,69.806984,776800
2000-01-31,87.000000,91.687500,86.500000,91.625000,73.517960,801800
2000-02-01,92.875000,93.000000,90.500000,91.250000,73.217079,813100
2000-02-02,90.750000,91.625000,88.625000,91.125000,73.116768,964700
2000-02-03,90.000000,91.125000,84.812500,85.375000,68.503090,2213300
2000-02-04,87.250000,87.250000,83.562500,84.687500,67.951500,1451700
2000-02-07,84.437500,86.500000,83.500000,85.750000,68.804016,929800
2000-02-08,85.750000,89.625000,85.750000,89.437500,71.762772,1024800
2000-02-09,89.437500,89.437500,86.562500,86.750000,69.606377,397100
2000-02-10,86.750000,87.312500,85.500000,86.625000,69.506073,503200
2000-02-11,86.437500,88.750000,85.000000,85.125000,68.302483,856900
2000-02-14,85.125000,86.875000,84.625000,86.500000,69.405785,627800
2000-02-15,86.250000,86.625000,85.125000,86.500000,69.405785,542400
2000-02-16,86.750000,87.312500,82.875000,82.937500,66.547272,720300
2000-02-17,84.750000,84.750000,81.125000,82.125000,65.895416,895500
2000-02-18,84.500000,84.500000,80.750000,80.812500,64.842255,925500
2000-02-22,81.250000,82.375000,80.687500,81.562500,65.444031,720100
2000-02-23,81.312500,87.000000,81.062500,85.750000,68.804016,702900
2000-02-24,85.812500,89.937500,85.500000,89.625000,71.913239,1199800
2000-02-25,89.437500,94.000000,88.250000,89.250000,71.612350,1333000
2000-02-28,89.250000,89.250000,87.000000,88.000000,70.609344,518000
2000-02-29,88.750000,92.500000,88.000000,92.500000,74.220032,1381200
2000-03-01,93.250000,96.750000,93.187500,94.750000,76.025398,1488900
2000-03-02,95.250000,97.875000,94.125000,96.250000,77.229004,1819200
2000-03-03,97.000000,102.500000,96.750000,102.500000,82.243835,2295900
2000-03-06,102.750000,105.250000,102.375000,103.687500,83.196655,1421000
2000-03-07,103.937500,105.750000,102.437500,104.875000,84.149513,1041300
2000-03-08,105.000000,105.375000,99.687500,101.750000,81.642052,1041100
2000-03-09,101.750000,108.187500,101.250000,107.187500,86.005013,535500
2000-03-10,109.750000,119.000000,108.500000,112.250000,90.067093,2034400
2000-03-13,107.500000,115.500000,106.500000,110.375000,88.562561,1454200
2000-03-14,111.500000,112.875000,103.500000,104.750000,84.049171,653100
2000-03-15,102.500000,105.500000,101.375000,103.562500,83.096329,700300
2000-03-16,103.875000,105.000000,99.250000,103.312500,82.895813,2024800
2000-03-17,104.125000,117.375000,103.250000,116.500000,93.477173,2099400
2000-03-20,117.625000,123.000000,112.562500,113.437500,91.019867,2254000
2000-03-21,111.000000,119.812500,106.500000,118.250000,94.881294,2692800
2000-03-22,114.875000,117.937500,114.812500,117.156250,94.003716,1258900
2000-03-23,116.500000,119.000000,115.125000,119.000000,95.483093,1656900
2000-03-24,119.000000,128.000000,117.687500,121.312500,97.338585,1934400
2000-03-27,118.250000,119.375000,111.750000,112.000000,89.866425,1315000
2000-03-28,109.500000,115.500000,108.500000,113.250000,90.869431,1649400
2000-03-29,114.000000,116.125000,110.750000,114.187500,91.621643,754300
2000-03-30,112.625000,115.000000,105.125000,106.875000,85.754250,1241200
2000-03-31,108.000000,111.875000,103.312500,105.250000,84.450394,1693300
2000-04-03,108.750000,110.812500,105.500000,105.500000,84.650955,1789500
2000-04-04,106.000000,106.250000,91.125000,98.250000,78.833717,3739600
2000-04-05,97.500000,99.625000,93.500000,97.437500,78.181778,3238700
2000-04-06,101.000000,106.000000,100.000000,106.000000,85.052185,1675700
2000-04-07,106.250000,107.250000,101.187500,102.500000,82.243835,1373500
2000-04-10,104.000000,109.125000,103.562500,107.062500,85.904655,1749900
2000-04-11,107.125000,108.312500,104.312500,104.812500,84.099327,1147200
2000-04-12,106.500000,107.250000,96.500000,96.562500,77.479729,2598500
2000-04-13,96.750000,98.125000,92.312500,95.250000,76.426605,3377700
2000-04-14,92.750000,92.750000,79.437500,82.750000,66.396858,4855800
2000-04-17,81.750000,87.750000,81.000000,87.500000,70.208176,3489600
2000-04-18,87.500000,94.937500,86.875000,93.750000,75.223038,2191500
